,,2月 joint 累計支出：36684,,,,,
品項,說明,金額,日期,,Source,Payer,
肉,雞腿,160,2017-12-02,12,,,
蔬菜,玉米,70,2017-12-02,12,,,
蔬菜,香菇、杏鮑菇,100,2017-12-02,12,,,
蔬菜,茼蒿、娃娃菜*2,167,2017-12-02,12,,,
餛飩,＊1,40,2017-12-02,12,,,
外食,早餐,127,2017-12-02,12,,,
外食,西雅圖,190,2017-12-02,12,,,
外食,摩斯,358,2017-12-02,12,,,
麵筋,,31,2017-12-03,12,,,
肉片,*2,139,2017-12-03,12,,,
雞絲麵,,58,2017-12-03,12,,,
零食,,108,2017-12-03,12,,,
廚房紙巾,,99,2017-12-03,12,,,
外食,丼飯,348,2017-12-03,12,,,
水果,芭樂、橘子、柳丁,230,2017-12-05,12,,,
牛奶,,93,2017-12-05,12,,,
紅茶,*2,45,2017-12-05,12,,,
雞蛋,,72,2017-12-06,12,,,
火腿,*2,64,2017-12-06,12,,,
蔬菜,香菇、四季豆、蔥、大陸妹,90,2017-12-07,12,,,
水餃,*20顆,90,2017-12-07,12,,,
水果,芭樂、橘子、柳丁,210,2017-12-07,12,,,
外食,滷味,185,2017-12-08,12,,,
外食,早餐,127,2017-12-09,12,,,
蔬菜,白蘿蔔、玉米、香菇,200,2017-12-09,12,,,
餛飩,,40,2017-12-09,12,,,
肉,排骨,150,2017-12-09,12,,,
蔬菜,娃娃菜、茼蒿、A菜、小玉米,160,2017-12-09,12,,,
水果,香蕉、小番茄、蘋果,240,2017-12-09,12,,,
熟食,蛋餅、豆腐,90,2017-12-09,12,,,
香梨酒,,59,2017-12-09,12,,,
小魚柿餅,,105,2017-12-09,12,,,
垃圾袋,,45,2017-12-09,12,,,
雞絲麵,,49,2017-12-09,12,,,
泡麵,,42,2017-12-09,12,,,
肉,梅花肉片*4,356,2017-12-09,12,,,
3M掛鉤,*4,298,2017-12-09,12,,,
蛋,,40,2017-12-16,12,,,
火腿,,64,2017-12-16,12,,,
外食,丼飯,438,2017-12-10,12,,,
飲料,咖啡、奶茶、汽泡水,90,2017-12-10,12,,,
牛奶,,93,2017-12-11,12,,,
水餃,*2顆,225,2017-12-12,12,,,
吐司,,90,2017-12-12,12,,,
水果,芭樂、柳丁、番茄,250,2017-12-12,12,,,
雞蛋,,72,2017-12-12,12,,,
紅茶,,46,2017-12-12,12,,,
蔬菜,白蘿蔔、豆芽菜、杏鮑菇,100,2017-12-13,12,,,
肉,排骨,230,2017-12-14,12,,,
蔬菜,茼蒿、香菇、玉米,140,2017-12-14,12,,,
牛奶,,93,2017-12-15,12,,,
紅茶,,50,2017-12-15,12,,,
水果,柳丁,50,2017-12-16,12,,,
外食,烤雞,480,2017-12-16,12,,,
電池,,249,2017-12-16,12,,,
洗衣精,,135,2017-12-16,12,,,
咖啡,,157,2017-12-16,12,,,
計程車,,150,2017-12-16,12,,,
計程車,,155,2017-12-16,12,,,
外食,早餐,145,2017-12-17,12,,,
肉,排骨,200,2017-12-17,12,,,
蔬菜,白蘿蔔、蔥,80,2017-12-17,12,,,
蔬菜,茼蒿、香菇、水果玉米、娃娃菜,215,2017-12-17,12,,,
水果,小番茄、柳丁、芭樂、香蕉,270,2017-12-17,12,,,
油豆腐,,35,2017-12-17,12,,,
外食,坐坐,420,2017-12-17,12,,,
香皂,,179,2017-12-17,12,,,
洗髮精,,300,2017-12-17,12,,,
肉,肉片*4,320,2017-12-17,12,,,
酒,*2,134,2017-12-17,12,,,
麵筋,*2,72,2017-12-17,12,,,
蛋,,72,2017-12-17,12,,,
餅乾,,108,2017-12-17,12,,,
餅乾,,70,2017-12-17,12,,,
筍乾,,36,2017-12-17,12,,,
雞絲麵,,49,2017-12-17,12,,,
蜂蜜,*2,1000,2017-12-19,12,,,
蔬菜,玉米、杏鮑菇、娃娃菜、甜豆、蘑菇、馬鈴薯,270,2017-12-19,12,,,
水果,柳丁、芭樂、蘋果、香蕉,180,2017-12-20,12,,,
蛋,,72,2017-12-20,12,,,
麵包,,95,2017-12-20,12,,,
肉,肉絲,140,2017-12-21,12,,,
洗碗精,,153,2017-12-21,12,,,
牛奶,,93,2017-12-21,12,,,
紅茶,,300,2017-12-22,12,,,
外食,摩斯,280,2017-12-22,12,,,
外食,麥當當,331,2017-12-23,12,,,
啤酒,,36,2017-12-23,12,,,
茶,*2,430,2017-12-23,12,,,
零食,,49,2017-12-23,12,,,
外食,早餐,190,2017-12-24,12,,,
蔬菜,白蘿蔔、玉米、蔥,150,2017-12-24,12,,,
雞腿,,170,2017-12-24,12,,,
排骨,*2,210,2017-12-24,12,,,
蔬菜,娃娃菜、香菇、山茼蒿,165,2017-12-24,12,,,
水果,柳丁、香蕉、橘子、芭樂、番茄,300,2017-12-24,12,,,
肉,肉片*2,168,2017-12-24,12,,,
泡麵,*2,120,2017-12-24,12,,,
零食,小魚柿餅,108,2017-12-24,12,,,
水餃,*50,225,2017-12-25,,,,
水果,橘子,70,2017-12-25,,,,
蔬菜,杏鮑菇、四季豆、馬鈴薯,80,2017-12-26,,,,
牛奶,,95,2017-12-27,,,,
紅茶,,49,2017-12-28,,,,
麵包,,44,2017-12-28,,,,
蔬菜,杏鮑菇、彩椒、小玉米,184,2017-12-30,,,,
水果,橘子、芭樂、小番茄,270,2017-12-30,,,,
肉,牛肉*3,783,2017-12-30,,,,
蛋,,72,2017-12-30,,,,
零食,小泡麵,25,2017-12-30,,,,
外食,早餐,170,2017-12-30,,,,
蔬菜,娃娃菜、馬鈴薯,65,2017-12-30,,,,
外食,Ikea餐廳,580,2017-12-31,,,,
水果,香蕉、柳丁,70,2017-12-31,,,,
牛奶,,90,2017-12-31,,,,
紅茶,*2,46,2017-12-31,,,,
外食,,279,2017-12-31,,,,
衛生紙,,59,2017-12-31,,,,
密封袋,,39,2017-12-31,,,,
面紙,,96,2017-12-31,,,,
泡麵,*2,64,2017-12-31,,,,
啤酒,,32,2017-12-31,,,,
零食,,108,2018-01-01,,,,
外食,早餐麵包,100,2018-01-02,,,,
水餃,,225,2018-01-02,,,,
水果,橘子、芭樂,80,2018-01-02,,,,
蔬菜,,140,2018-01-02,,,,
外食,麵店,265,2018-01-02,,,,
水果,橘子、棗子,90,2018-01-02,,,,
外食,家常麵店,220,2018-01-04,,,,
蔬菜,,36,2018-01-04,,,,
外食,早餐,217,2018-01-12,,,,
外食,炒飯、牛肉湯、炒青菜、炒五花肉,440,2018-01-14,,,,
水果,香蕉*3,49,2018-01-14,,,,
鮮奶,,93,2018-01-14,,,,
紅茶,*2,25,2018-01-14,,,,
蛋,,58,2018-01-14,,,,
吐司,,25,2018-01-14,,,,
外食,家常麵店,210,2018-01-15,,,,
水果,芭樂、柳丁、香蕉,145,2018-01-15,,,,
白吐司,,50,2018-01-15,,,,
餅乾,,75,2018-01-15,,,,
啤酒,*2,80,2018-01-15,,,,
泡麵,,42,2018-01-15,,,,
咖啡,,159,2018-01-15,,,,
肉,排骨,98,2018-01-15,,,,
零食,,39,2018-01-15,,,,
奶油,,57,2018-01-15,,,,
蔬菜,高麗菜,80,2018-01-16,,,,
肉,肉絲,90,2018-01-16,,,,
麵包,,50,2018-01-16,,,,
雞腿,,170,2018-01-17,,,,
排骨,,200,2018-01-17,,,,
青菜,,115,2018-01-17,,,,
午餐,,230,2018-01-17,,,,
咖啡,,110,2018-01-17,,,,
外食,麵店,150,2018-01-18,,,,
水果,,250,2018-01-18,,,,
汽泡水,*2,58,2018-01-18,,,,
餅乾,,48,2018-01-18,,,,
外食,飯糰＋日式炸雞,210,2018-01-19,,,,
外食,早餐,167,2018-01-20,,,,
水果,芭樂、橘子、番茄,303,2018-01-20,,,,
紅茶,*2,46,2018-01-20,,,,
外食,鹽酥雞,370,2018-01-20,,,,
吐司,,25,2018-01-20,,,,
香腸,*2,52,2018-01-20,,,,
啤酒,,45,2018-01-20,,,,
外食,subway,229,2018-01-28,,,,
水果,香蕉,95,2018-01-28,,,,
油豆腐,,35,2018-01-28,,,,
啤酒,*3,130,2018-01-28,,,,
鮪魚罐頭,*3,177,2018-01-28,,,,
麵筋,*2,72,2018-01-28,,,,
肉,豬肉片*3,230,2018-01-28,,,,
泡麵,*3,153,2018-01-28,,,,
零食,柿餅小魚,102,2018-01-28,,,,
肉,雞腿,170,2018-01-28,,,,
排骨,*2,190,2018-01-28,,,,
蔬菜,,250,2018-01-28,,,,
米,,260,2018-01-22,,,,
肉鬆,,281,2018-01-22,,,,
蔬菜,,50,2018-01-23,,,,
吐司,,25,2018-01-24,,,,
紅茶,＊2,50,2018-01-24,,,,
蛋,,60,2018-01-24,,,,
德式香腸,*2,52,2018-01-24,,,,
修衣服,*2,455,2018-01-24,,,,
外食,八方,150,2018-01-24,,,,
紅茶,*2,50,2018-01-24,,,,
牛奶,,93,2018-01-24,,,,
外食,滷味 ,255,2018-01-24,,,,
蔬菜,,133,2018-01-25,,,,
水果,,270,2018-01-25,,,,
吐司,,90,2018-01-25,,,,
外食,餛飩,180,2018-01-26,,,,
電影,maze runner 3,630,2018-01-26,,,,
藍莓果醬,*2,392,2018-01-27,,,,
鐵板燒,,680,2018-01-27,,,,
外食,早餐,192,2018-01-28,,,,
蔬菜,,170,2018-01-28,,,,
肉,排骨,250,2018-01-28,,,,
蔬菜,,170,2018-01-28,,,,
蔬菜,,70,2018-01-28,,,,
水果,,250,2018-01-28,,,,
乳液,,1300,2018-01-28,,,,
外食,摩斯,385,2018-01-28,,,,
油豆腐,,90,2018-01-28,,,,
蛋餅,,55,2018-01-28,,,,
啤酒,*6,185,2018-01-28,,,,
汽泡水,*4,88,2018-01-28,,,,
小魚柿餅,,102,2018-01-28,,,,
玉筍罐頭,,36,2018-01-28,,,,
脆瓜罐頭,,36,2018-01-28,,,,
雞蛋,,70,2018-01-28,,,,
咖啡,,159,2018-01-28,,,,
拉麵,*2,110,2018-01-28,,,,
肉,肉絲,64,2018-01-28,,,,
肉,肉片*3,228,2018-01-28,,,,
調味盒,,99,2018-01-29,,,,
網袋,*2,118,2018-01-29,,,,
奶油刀,*2,198,2018-01-29,,,,
外食,西雅圖,200,2018-01-29,,,,
麵包,*2,100,2018-01-30,,,,
鮮奶,,88,2018-01-30,,,,
雞蛋,,60,2018-01-30,,,,
外食,巨大麵,300,2018-01-31,,,,
咖啡,*2,190,2018-01-31,,,,
